Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,0.164645896,0.242361639,0.928877662,0.5161987,-2.129857535,-0.848636532
1,0.129476859,-0.013239539,1.082357935,1.38970074,-0.415394272,-1.882794879
1,0.19028382,0.122523258,1.046938389,1.292176818,0.459314515,-4.699913525
1,0.111022687,-0.069696943,1.066517361,1.707538741,-1.436327084,-4.257135974
1,-0.056418872,-0.147574437,0.903856193,0.21770634,-1.11534115,2.131501602
1,-0.085991855,0.005134791,0.99715446,0.484275115,-0.077214476,2.680194808
1,0.087541786,-0.041149531,0.99449196,1.10197136,0.009740683,-2.217954773
1,-0.056456608,0.009302576,1.016069669,1.10193757,1.205992109,-3.995860048
1,0.143578384,0.155038415,0.932128142,-0.170862665,0.512131092,-0.399554584
1,-0.052073014,-0.083111179,1.092338845,0.000472622,1.688323385,-1.23220302
1,-0.162717995,0.037412246,0.922184081,-0.283349703,-0.010745688,1.935792903
1,-0.030507954,-0.114155895,0.918823913,-0.745420704,0.798163868,0.697540174
1,0.019705846,0.103334783,1.069779522,-0.038561331,1.11378918,2.396141488
1,-0.112348092,-0.040007834,1.066035072,-0.545478234,0.27265889,0.01097283
1,-0.088131834,-0.010045147,1.122653491,0.255142164,0.376571508,3.843554368
1,-0.056438032,0.092558142,0.894767307,1.199568886,2.250450774,2.193186669
1,-0.05446548,-0.041303338,0.972835283,2.908022214,3.645191779,-2.075998385
1,-0.059520948,0.21742639,1.129375708,2.471254696,2.535456057,1.161422726
1,0.067066626,0.11643325,1.061993377,2.464241241,1.613603354,0.053909252
1,-0.168374628,-0.037858566,1.172103259,4.947993287,4.772738449,11.57085121
1,-0.003263867,0.093176361,1.003923291,1.998835811,1.236323807,3.574323409
1,-0.153043556,-0.186307149,1.189368897,2.552960047,1.326259299,0.208712836
1,0.128808019,0.104145932,1.020253658,1.844349023,-0.571052197,1.975720763
1,0.024270542,-0.007502347,1.008912589,1.844544558,1.08557625,-1.660165486
1,-0.031023467,0.181152092,1.071950304,1.264712657,-0.75192101,-0.532858918
1,0.253437902,-0.000669707,0.726781391,1.551516681,-2.447068561,4.276988246
1,0.132741627,-0.106507864,0.893026973,2.666295449,-1.372614649,6.561782154
1,-0.021718536,0.03496793,0.971476458,1.443071092,-1.412583848,3.679131529
1,-0.004286377,0.126058684,0.946263127,2.322609806,1.043335157,2.450257489
1,-0.066583925,0.038482117,0.960206549,1.196356361,2.929819278,1.338364599
1,-0.142407829,0.038254653,1.108746689,1.463416465,2.592617087,-1.958176311
1,0.07182697,-0.118147488,1.224822874,1.638244882,2.117057504,-2.663519027
1,0.027401686,-0.11379503,0.919975469,3.000875645,2.079193635,-3.061324593
1,-0.050127284,-0.157151095,0.9722239,2.100766813,2.887375749,-4.530588746
1,0.022927122,0.012969343,0.940118281,2.686449599,3.484248371,-2.326299776
1,0.1380671,0.023605145,0.966180394,2.712615697,1.676128102,1.267262194
1,-0.093089365,-0.054083929,1.094268034,1.660052148,0.125736188,4.044515924
1,0.067163201,-0.015789793,0.834689583,1.62239021,0.32807629,0.108900662
1,0.095498072,0.018649315,0.687326527,2.310078616,0.573672462,-1.230125522
1,0.15163432,0.000503764,1.005230464,2.943934639,1.160134601,0.366674976
1,-0.146410915,0.153070131,0.901218056,4.681971625,-0.116802739,1.030028915
1,-0.040194082,-0.029268573,0.99350761,4.28468746,-1.573623571,2.609640484
1,-0.142314362,-0.132690436,1.01622378,4.631846676,-2.49042544,2.956663982
1,0.172420767,0.041503206,0.906237765,3.584886811,-2.190200471,2.5824566
1,-0.104430378,0.079622341,0.891529763,2.993910726,-0.748467502,3.625881671
1,-0.020491562,-0.095301547,1.014410734,4.131393955,-1.390364978,2.292869614
1,-0.034530215,0.058703702,0.98089679,3.371004967,-0.796588386,0.629954706
1,-0.087160621,-0.053270937,1.057857751,0.850899505,0.72127907,0.229812681
1,-0.250010951,0.016551553,0.996341133,0.842383493,-0.646887426,-2.193513498
1,0.102265562,0.119621404,0.988617478,1.041531622,1.699949685,-0.770605173
1,0.102028599,-0.132845632,0.992907418,2.513373071,-1.438729692,0.536178553
1,-0.062399847,0.166060552,1.084799876,1.561694098,0.520745147,0.290141645
1,0.094528379,-0.171333264,1.086870703,2.163931203,-0.193213215,1.899609914
1,0.253034874,0.052172546,1.036511021,0.258718096,1.791835489,1.180343544
1,0.063006186,-0.079471074,1.051849287,-0.289339038,0.733957366,0.321030244
1,-0.159080555,-0.023237633,0.914237218,-1.528525188,0.892865758,0.294866576
1,-0.098438476,0.084497418,1.038822681,-4.41712257,-1.176721194,2.112047659
1,0.043284021,-0.031026857,1.018333351,-7.585912746,-4.613234216,2.800055608
1,0.053575343,0.065944277,0.93980662,-7.768017185,-4.371994053,6.376304684
1,-0.059659299,-0.010758011,0.814526569,-3.52929422,-1.124112387,2.497243935
1,0.205600666,0.041483144,0.842340388,-8.856056501,1.918472642,0.506096654
1,-0.033857208,-0.093855243,1.018460319,-18.64818592,6.381571994,3.809014103
1,0.134642639,0.169697985,0.979534265,-48.5440358,3.695259139,8.775177197
1,-0.153370762,0.007829346,0.789322872,-19.76478738,-6.394915668,6.439649363
1,0.038292822,0.149971932,0.983379616,-4.590847824,-7.950744926,7.781684305
1,-0.081043943,0.241018299,1.04149334,-4.707811675,-1.424623981,7.4683695
1,-0.101752355,0.188545018,0.827512179,-12.09223348,-4.316097327,6.31625486
1,-0.14864055,0.20502608,1.099310014,4.551888595,-2.49143688,6.018917638
1,-0.060878438,0.057728742,1.067834108,2.41829868,2.47481172,6.417628903
1,0.055718192,0.19450421,1.011735537,2.130109762,2.071703215,5.117977994
1,0.046168185,0.134442408,0.953684869,6.150849294,3.603083989,3.240195158
1,-0.049010682,-0.000458189,1.021028879,6.249877249,2.337717122,4.557643009
1,0.069534669,0.035184933,0.925177827,6.574264614,7.472612705,-0.506889808
1,0.121504898,0.203306814,1.041155416,0.118665087,5.870762676,-0.129909517
1,-0.063061889,0.254378331,0.79535616,8.328022916,2.744947563,-2.09913915
1,-0.060707096,0.195881632,0.856696178,10.75699501,-2.262572748,-2.043351651
1,0.115484434,0.17870046,1.052654947,9.720685157,-0.205382527,-1.619295285
1,0.083114634,0.174417433,1.008075041,18.90473882,-5.011205883,6.581929869
1,-0.045729195,0.098573253,0.761551286,32.76060758,-22.31671297,2.284368122
1,-0.01281267,0.173878356,0.857300972,38.54447151,-15.24277583,8.854051221
1,-0.117425541,0.03574873,1.075257093,19.30665888,-0.504769963,-0.327352232
1,0.036341505,-0.094347792,1.122563578,19.42512246,-1.459843862,6.87610321
1,-0.152678715,-0.035386414,1.024207321,19.78812642,-0.038119881,7.961225424
1,0.112340753,0.019711704,1.008792958,34.2661756,0.450265721,3.393439502
1,-0.222840334,-0.125672753,0.937312044,36.46927592,2.652230632,4.668868153
1,0.126524899,-0.051353506,1.113910942,48.83307344,10.82188694,12.38562098
1,-0.035791671,-0.240896711,1.022168959,62.75148365,-0.782874566,5.560373802
1,0.024500224,-0.301822293,1.089515401,31.88988117,14.78454639,-8.174248972
1,0.011718489,-0.266838337,1.045561518,12.51295057,11.96202206,-10.10596691
1,0.090048946,-0.263765022,0.867880727,-0.571179765,15.08625774,-7.289099458
1,0.017131261,-0.487103789,1.034527777,6.583056077,2.891206903,0.825647823
1,0.068475429,-0.349659568,0.78544815,0.084060821,4.284214929,-2.557245878
1,-0.061925537,-0.236603536,0.875831672,0.650471378,-2.209718124,0.885673037
1,-0.009379057,-0.276261663,0.973695568,4.406002829,1.737419935,-2.120936995
1,0.005833183,-0.414899395,1.003735465,7.249578771,0.384581714,0.953555388
1,0.066758389,-0.42541262,1.020117477,0.950239034,-3.631541344,-20.6910221
1,-0.114010125,-0.33978624,0.939699821,10.65400187,-2.619217579,-23.28509352
1,-0.10581627,-0.341019352,0.998582951,18.4841538,1.202040699,-7.244961956
1,-0.108341113,-0.340414344,0.89017246,-4.318472288,-1.790365507,11.10423036
1,0.155874979,-0.329920703,0.834246971,-11.68281366,-0.824294961,3.700762835
1,-0.11560166,-0.318583632,1.019074206,2.858646717,-2.356724806,-7.534910641
1,-0.292568813,-0.244609506,0.888787355,-25.96571648,-8.303013791,-9.939861969
1,-0.159438055,-0.307028304,0.985032847,-35.45339794,-13.47971527,-1.344166396
1,0.091588487,-0.1687056,0.987664332,-16.31052743,0.073376561,10.75997891
1,-0.158560073,-0.170487666,0.898847114,-23.83014248,-1.810690969,5.805279064
1,-0.321564674,0.059783412,0.929814567,-6.567656175,10.57645894,-1.050632629
1,-0.123668938,0.029559718,1.046742484,-9.575260698,10.86908947,-0.910069357
1,-0.083053622,-0.048471169,0.962396352,-7.441620673,3.218873471,0.047730064
1,0.033054746,-0.249184959,0.839058324,-11.12533921,1.754753664,6.027385994
1,-0.157376874,-0.003496659,0.965428437,-13.7992848,-0.199119822,-4.707971748
1,-0.197098558,-0.260044222,1.147377239,-13.25778886,2.241035567,-2.112754856
1,-0.038305625,-0.046395785,0.941097952,-17.69190079,0.667481327,-3.648174801
1,-0.229262426,0.005900555,0.995341782,-20.96785533,2.253152324,-2.287432474
1,0.289658481,0.106922932,0.956862742,-22.93188541,2.966383343,-4.070551972
1,-0.134969992,-0.070064226,1.028213241,-14.44067158,2.623306069,-1.019510833
1,0.23961532,0.057333185,0.919854744,-7.125418598,3.060787147,1.328633405
1,0.054294702,0.231426838,0.919006094,-3.50491311,0.575886684,-2.012402661
1,-0.139398806,-0.088274392,0.883084869,-4.53421019,2.586082294,-4.386725359
1,0.03589866,-0.032648862,1.001888126,-0.178571523,3.657647654,-2.597569894
